export_date,res_1,res_2,res_3,res_4
1/01/1994,0,0,0,0
2/01/1994,-.0240446789111802,.0227864177414507,-.0010182583837359,-.0045404251991554
3/01/1994,-.0407401464509977,-.0437743021976279,-.0124996702431677,-.0458927795443143
4/01/1994,0,0,0,0
5/01/1994,.2274540022667566,.2181533706514426,.4617340419432256,.4151876174173421
6/01/1994,0,0,0,0
7/01/1994,-.0623553987441366,-.0658700832840227,-.2497000925734518,-.2623032951923747
8/01/1994,.3111780971353849,.3237947157964924,.3410666076934659,.2964866871112939
9/01/1994,-.0148484695559139,-.0041824248872225,-.1795080296637135,-.1777603187440349
10/01/1994,0,0,0,0
11/01/1994,.4361236265784221,.4303946582094187,.2545725355366377,.2618392878431273
12/01/1994,-.3302581458679394,-.2968080961660069,-.4657236533012776,-.4285354441026783
1/01/1995,0,0,0,0
2/01/1995,.2876546641961268,.2928803918442551,.4315653049255888,.3902923068350574
3/01/1995,-.0592087602203419,-.0589355558439775,-.0239460225552826,-.035491861863667
4/01/1995,0,0,0,0
5/01/1995,.1640985834039827,.1388173254047753,.1683741617673054,.1275822040413068
6/01/1995,0,0,0,0
7/01/1995,.0182978277050384,-.0036071414223894,.0625520793107146,.0248609109286786
8/01/1995,.0941905932806431,.0825386737853254,.14701137832553,.1275664383806667
9/01/1995,.0848349336167482,.0773500378383565,.0121179177786743,.0210269706168802
10/01/1995,0,0,0,0
11/01/1995,.0483276063662822,.034801894477381,.0593882471828371,.0643400310655373
12/01/1995,-.1211635490294027,-.13085726743467,-.1549979540503674,-.1602800437662264
1/01/1996,-.0421006608148141,-.0561911565730173,-.0456552035458451,-.0733447817230655
2/01/1996,0,0,0,0
3/01/1996,.000963772342665,-.0018352330620258,.1415533407969605,.1089932838942183
4/01/1996,0,0,0,0
5/01/1996,-.2093255666928481,-.2072729371149196,-.2772586699711646,-.2579780677026076
6/01/1996,0,0,0,0
7/01/1996,-.1934154439446191,-.1818448536669089,-.1956109586596995,-.1908570538932519
8/01/1996,-.2159367823981641,-.2050534898492603,-.19945642936678,-.1934447570721805
9/01/1996,-.1233032145522669,-.1208642810281395,-.1442003408676023,-.1611656212420201
10/01/1996,0,0,0,0
11/01/1996,-.0134869168617508,-.0279337429127651,-.05716164981623,-.0828846539846726
12/01/1996,-.0798815493423094,-.0915769049262847,-.1297477831906804,-.141736697665257
1/01/1997,0,0,0,0
2/01/1997,-.0362167301912556,-.0463294461064362,-.0164659006572556,-.0610581906867509
3/01/1997,.0573512230393406,.0555456408286307,.0987004851853683,.0692013414222767
4/01/1997,0,0,0,0
5/01/1997,.0080423774017482,-.0137510555998347,-.0665463841417093,-.1124652001144355
6/01/1997,0,0,0,0
7/01/1997,-.0911670017156253,-.0925634169591238,.003679584233403,-.0577280339283046
8/01/1997,.0565015562424974,.0053881791508046,-.0227791525124683,-.0791936551194041
9/01/1997,-.0254674641754136,-.0496985069282239,-.050582037859229,-.1051879824113033
10/01/1997,0,0,0,0
11/01/1997,-.0580812806835774,-.0925236609915538,-.0993713794671276,-.1373663193517078
12/01/1997,-.0595061801861617,-.0978841001457992,-.0915198132004784,-.1271501164575373
1/01/1998,0,0,0,0
2/01/1998,-.0174068060218712,-.0501323627973342,.0890914800196105,.0298510938346812
3/01/1998,-.0280309349885906,-.054587232966759,.0375995485410963,-.0157169362156466
4/01/1998,0,0,0,0
5/01/1998,.0911384745191401,.0382924197837567,.0785779294433926,.01232614005818
6/01/1998,0,0,0,0
7/01/1998,.0958392738693105,.0455132412493298,.137988622170468,.0664804423841243
8/01/1998,.169182808182356,.1201461861724951,.1617854374323775,.1064115306252731
9/01/1998,-.0474463592313712,-.0366074350726295,-.1002878469957533,-.0805332811544996
10/01/1998,0,0,0,0
11/01/1998,-.0759381838317288,-.0600296816466407,-.3150239283781415,-.3022313831280083
12/01/1998,.0016525543236861,.0426700826089926,.0543568415446067,.0789157341570306
1/01/1999,0,0,0,0
2/01/1999,.0051765240098374,.0294783729443688,.0005937148693178,.0131178055051251
3/01/1999,-.0761784797343154,-.0721116862269062,-.0548372630401497,-.069280925962854
4/01/1999,0,0,0,0
5/01/1999,.1000449378525047,.0775427494374986,-.0680127351003295,-.092227434002405
6/01/1999,.3276327836455218,.2913918352402053,.2347562899123732,.197319574496273
7/01/1999,0,0,0,0
8/01/1999,.1500106198043512,.1624693566689232,.0665682509302004,.0818610390533081
9/01/1999,0,0,0,0
10/01/1999,-.1557047407700733,-.1252633756063906,-.2276303477942454,-.1923561918583392
11/01/1999,.1554898321324744,.1411107621688779,.0887908854532373,.1077610974578196
12/01/1999,-.1431819970853821,-.1658206551932064,-.2055610794867189,-.1949779997395265
1/01/2000,0,0,0,0
2/01/2000,.0946249233003029,.0645005588546544,.1503459220052212,.1268848106408136
3/01/2000,.0702446976631703,.1278411600809526,.0121244970117385,.0788475781863909
4/01/2000,0,0,0,0
5/01/2000,.2239486731969836,.3103001200477011,.2427841980800292,.3651883107257881
6/01/2000,-.1233171937362498,-.0583495145819729,-.1832781795167264,-.0743966445822277
7/01/2000,0,0,0,0
8/01/2000,-.0322909670475207,.0249578517964487,.065872114677398,.1464428681928531
9/01/2000,0,0,0,0
10/01/2000,-.008965873979484,.0633326442423516,.0423986303013102,.1429734484128655
11/01/2000,.0508746883130195,.1018486609034389,.0357977126788755,.1480063478821201
12/01/2000,-.0050916840261657,.0397352665581192,.0967681157625053,.2338336353535055
1/01/2001,-.060949843093671,-.074523556898692,.0510406621032073,.092754697524617
2/01/2001,0,0,0,0
3/01/2001,-.2882645171998436,-.2397546520147554,-.4419824709943292,-.3822881679213772
4/01/2001,0,0,0,0
5/01/2001,-.1436201504849665,-.1200616933350891,-.3915665051791812,-.4029484437629289
6/01/2001,-.1192171739814363,-.1104852087242638,.257641847179241,.2297422844487436
7/01/2001,0,0,0,0
8/01/2001,-.118096707542321,-.1192120679370191,-.1133392651578853,-.0578290734413445
9/01/2001,0,0,0,0
10/01/2001,.0347276479588681,.046787419349495,-.4738490317755018,-.4323913144466682
11/01/2001,-.0230069573465978,-.0129960748075964,.0501150784494362,.0604364851784476
12/01/2001,.1724008012154387,.1468944264184347,.1565985056122781,.1286894898937467
1/01/2002,.2012622412359396,.1694325022363464,.0912087277724225,.1014042352819662
2/01/2002,0,0,0,0
3/01/2002,-.1692402217717746,-.154561486867086,-.2656649069571091,-.2041938596742163
4/01/2002,0,0,0,0
5/01/2002,.0292667482115878,.0495540969680784,.0351932634378764,.0613022040437077
6/01/2002,-.0055131110869459,.0415241686075886,.1103742757627146,.1507791486253498
7/01/2002,0,0,0,0
8/01/2002,.0434055175061717,.093659047152449,-.0597641620649334,.0466589112143949
9/01/2002,-.1561742764814524,-.064844534438923,-.1258164596807734,.0243153280907165
10/01/2002,0,0,0,0
11/01/2002,-.3022650615606151,-.2082681389658351,-.3855118301141198,-.2516751781684539
12/01/2002,.0433417204297488,.1092757621645895,.1453553488093995,.1991156918795798
1/01/2003,-.009986368839024,.0529153202443716,.0326269961366688,.1208367550632117
2/01/2003,0,0,0,0
3/01/2003,.1195659210184366,.1550107069969497,.049741479913233,.125719560804511
4/01/2003,0,0,0,0
5/01/2003,.0605084073155629,.06417112647763,.1065980123690546,.111249328003975
6/01/2003,-.008291542896372,.001032392687546,.0082370802604383,.0047211001545737
7/01/2003,0,0,0,0
8/01/2003,.0826595190404539,.0700311670642527,-.0113632650971434,-.0161769312473226
9/01/2003,-.1022713139886626,-.0989496666463498,-.0908115219257659,-.0836705470986274
10/01/2003,-.1158091763251239,-.1140600902526422,-.1109519925861391,-.1272124691195937
11/01/2003,0,0,0,0
12/01/2003,-.1678270817819342,-.1707841854134666,-.1307691009478873,-.1588756908158866
1/01/2004,-.1070907032827253,-.1286892867463764,-.079626915146279,-.11850730533649
2/01/2004,0,0,0,0
3/01/2004,-.1156406618950448,-.1592830038208967,-.0187235939264723,-.0613165886893112
4/01/2004,0,0,0,0
5/01/2004,-.1032957261748622,-.157040471135158,-.061127537292569,-.1428223396609332
6/01/2004,.015235685815651,-.0176554824352033,.0753343114868823,.0126504244087675
7/01/2004,0,0,0,0
8/01/2004,-.0180420401138798,-.0313805170000632,-.034801545338591,-.0500490546424186
9/01/2004,.0601066832657555,.03976705983322,.0095983232152836,-.0063031339562216
10/01/2004,0,0,0,0
11/01/2004,.1979954777703545,.1505047079632785,.0921397657359257,.0562555850201063
12/01/2004,.1020523948893948,.0566323012721022,.0889195902888118,.0521164792695821
1/01/2005,0,0,0,0
2/01/2005,.0549179005589393,.0022167829861305,.0620104001227455,.0156732202496994
3/01/2005,.098658012689365,.0550434763277683,.0626621200706032,-.0051364906875562
4/01/2005,0,0,0,0
5/01/2005,.134213001102698,.100796381738821,.1980804259062605,.1473381869099604
6/01/2005,.0751675901330661,.0563670252897214,.1540831274244661,.137045190501516
7/01/2005,0,0,0,0
8/01/2005,-.0249521387999073,-.0450437106756922,-.0867533529334441,-.085890306822086
9/01/2005,.0487629484349503,.0613564423215904,.0421982185440606,.0489328397608664
10/01/2005,0,0,0,0
11/01/2005,.0347625101056341,.031307765799364,.0969367443051388,.1000613159352395
12/01/2005,-.0931180949697945,-.0706353929963053,-.0261805507637964,.0092027633893874
1/01/2006,-.0509740474916233,-.0382049602779621,.0049096644449778,.0400948260027878
2/01/2006,0,0,0,0
3/01/2006,.0112427938216506,.0215738986368427,-.02217443508711,.0068271393676049
4/01/2006,0,0,0,0
5/01/2006,.0481030519480487,.0403036336623452,.1433182315238328,.1294603714884293
6/01/2006,.1743103095815371,.1778717824038454,.3315726458826544,.305618378841702
7/01/2006,0,0,0,0
8/01/2006,.0340533884268114,.0236083896037026,.0860556117185078,.0597640905834265
9/01/2006,-.1016746951586172,-.1193002671557449,.061525520960835,.0344180454214271
10/01/2006,-.1270783667510592,-.1402618337055255,-.109607283591707,-.0951276124131493
11/01/2006,0,0,0,0
12/01/2006,.0335896278509831,-.0051592610727124,-.0567711846326269,-.0618105452258373
1/01/2007,-.0557158869891441,-.0797498065991235,.0326204205279446,-.0014585966907497
2/01/2007,0,0,0,0
3/01/2007,-.0452928113069038,-.0711943326179389,.078855608792356,.0536524360428405
4/01/2007,0,0,0,0
5/01/2007,-.0373984938470805,-.0531842693514032,.097045872994606,.0615136930881643
6/01/2007,-.0563212227624943,-.0636768056090424,.1444239182674014,.0918210032180724
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
./01/.,0,0,0,0
